,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
0,329,PROVENANCE,77798,88700,157252,2.083589e+06,3.7770246e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:09.990201282
1,329,PROVENANCE,92175,102812,174994,2.094677e+06,4.2891743e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:09.990201282
2,,PROVENANCE,,,,,,329,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:09.990201282
3,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:09.990201282
4,359,PROVENANCE,77407,87994,158761,2.083589e+06,4.0884579e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:12.990169859
5,359,PROVENANCE,91632,102389,176408,2.094677e+06,4.6579217e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:12.990169859
6,,PROVENANCE,,,,,,359,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:12.990169859
7,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:12.990169859
8,389,PROVENANCE,77374,87645,157252,2.083589e+06,4.3945546e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:15.990111494
9,389,PROVENANCE,91632,102389,176408,2.094677e+06,5.0186994e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:15.990111494
10,,PROVENANCE,,,,,,389,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:15.990111494
11,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:15.990111494
12,419,PROVENANCE,77243,87414,158761,2.083589e+06,4.7369356e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:18.990103573
13,419,PROVENANCE,91577,101892,177472,2.094677e+06,5.4002596e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:18.990103573
14,,PROVENANCE,,,,,,419,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:18.990103573
15,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:18.990103573
16,449,PROVENANCE,77482,87645,158761,2.083589e+06,5.0611616e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:21.990160237
17,449,PROVENANCE,91786,102508,177472,2.094677e+06,5.7847221e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:21.990160237
18,,PROVENANCE,,,,,,449,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:21.990160237
19,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:21.990160237
20,479,PROVENANCE,77374,87433,158761,2.083589e+06,5.3641598e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:24.990093575
21,479,PROVENANCE,91406,102073,177472,2.094677e+06,6.1291542e+07,,,dispatcher_total_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:24.990093575
22,,PROVENANCE,,,,,,479,,dispatcher_enforcment_count,COUNTER,mem-ingestion,10,2019-11-22 11:21:24.990093575
23,,,,,,,,0,,dispatcher_concurrent_enforcers,GAUGE,mem-ingestion,10,2019-11-22 11:21:24.990093575
24,509,PROVENANCE,77374,87064,158761,2.083589e+06,5.6641968e+07,,,dispatcher_enforce_time,SUMMARY,mem-ingestion,10,2019-11-22 11:21:27.990089463
