,count,labels.event,quantiles.0.25,quantiles.0.5,quantiles.0.9,quantiles.1,sum,value,help,name,type,ExpLabel,QPS,Timestamp
0,1758,PROVENANCE,1.074583028e+09,1.625096991e+09,4.349864658e+09,1.2346768356e+10,3.771113287246e+12,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:40:58.251109707
1,,PROVENANCE,,,,,,1758,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:40:58.251109707
2,2013,PROVENANCE,1.134743817e+09,1.881156139e+09,5.294622762e+09,1.2346768356e+10,5.013817466044e+12,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:01.250430496
3,,PROVENANCE,,,,,,2013,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:01.250430496
4,2269,PROVENANCE,1.200188083e+09,2.109100428e+09,6.038202294e+09,1.7317108216e+10,6.413478395271e+12,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:04.252946945
5,,PROVENANCE,,,,,,2270,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:04.252946945
6,2510,PROVENANCE,1.238525331e+09,2.302528693e+09,6.546913381e+09,1.7317108216e+10,7.714506767308e+12,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:07.250519464
7,,PROVENANCE,,,,,,2510,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:07.250519464
8,2754,PROVENANCE,1.310659818e+09,2.488271323e+09,6.925885327e+09,2.1935155161e+10,9.095964160212e+12,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:10.250835721
9,,PROVENANCE,,,,,,2754,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:10.250835721
10,3028,PROVENANCE,1.397483051e+09,2.661752576e+09,7.618896542e+09,2.2298968008e+10,1.0792647538275e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:13.250495999
11,,PROVENANCE,,,,,,3031,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:13.250495999
12,3256,PROVENANCE,1.460628427e+09,2.801394982e+09,8.078412319e+09,2.3710827422e+10,1.2342213153043e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:16.250893326
13,,PROVENANCE,,,,,,3256,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:16.250893326
14,3480,PROVENANCE,1.555760754e+09,2.937190787e+09,8.516169485e+09,2.3710827422e+10,1.3758395656455e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:19.250656395
15,,PROVENANCE,,,,,,3480,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:19.250656395
16,3643,PROVENANCE,1.621039024e+09,3.085761044e+09,8.86062397e+09,3.197183962e+10,1.5259120203349e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:22.250561513
17,,PROVENANCE,,,,,,3643,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:22.250561513
18,3844,PROVENANCE,1.690103437e+09,3.269243434e+09,9.734476335e+09,3.4392639094e+10,1.7476941411578e+13,,,dispatcher_enforcment_time,SUMMARY,time-to-violation,100,2019-09-20 12:41:25.250455843
19,,PROVENANCE,,,,,,3844,,dispatcher_enforcment_count,COUNTER,time-to-violation,100,2019-09-20 12:41:25.250455843
